timestamp_ms,frequency_hz
0.000,298.5706
10.667,302.0398
21.333,307.3193
32.000,310.8902
42.667,314.5026
53.333,316.3245
64.000,316.3245
74.667,316.3245
85.333,316.3245
96.000,316.3245
106.667,314.5026
117.333,337.0755
128.000,339.0282
138.667,339.0282
149.333,314.5026
160.000,312.6912
170.667,314.5026
181.333,314.5026
192.000,316.3245
202.667,318.1569
213.333,320.0000
224.000,320.0000
234.667,0.0000
245.333,0.0000
256.000,0.0000
266.667,378.3545
277.333,376.1753
288.000,371.8546
298.667,369.7129
309.333,365.4663
320.000,357.1191
330.667,340.9922
341.333,331.2848
352.000,342.9675
362.667,339.0282
373.333,335.1341
384.000,333.2039
394.667,331.2848
405.333,0.0000
416.000,0.0000
426.667,0.0000
437.333,0.0000
448.000,0.0000
458.667,0.0000
469.333,0.0000
480.000,0.0000
490.667,0.0000
501.333,0.0000
512.000,0.0000
522.667,0.0000
533.333,0.0000
544.000,0.0000
554.667,0.0000
565.333,0.0000
576.000,0.0000
586.667,0.0000
597.333,0.0000
608.000,0.0000
618.667,0.0000
629.333,0.0000
640.000,0.0000
650.667,0.0000
661.333,0.0000
672.000,0.0000
682.667,0.0000
693.333,0.0000
704.000,0.0000
714.667,0.0000
725.333,0.0000
736.000,0.0000
746.667,0.0000
757.333,0.0000
768.000,290.0708
778.667,293.4413
789.333,296.8509
800.000,303.7895
810.667,309.0996
821.333,285.0876
832.000,269.0869
842.667,265.9961
853.333,262.9409
864.000,258.4237
874.667,259.9208
885.333,278.5762
896.000,302.0398
906.667,316.3245
917.333,327.4796
928.000,331.2848
938.667,335.1341
949.333,337.0755
960.000,321.8537
970.667,305.5493
981.333,300.3002
992.000,296.8509
1002.667,296.8509
1013.333,300.3002
1024.000,307.3193
1034.667,312.6912
1045.333,316.3245
1056.000,320.0000
1066.667,320.0000
1077.333,316.3245
1088.000,309.0996
1098.667,302.0398
1109.333,293.4413
1120.000,283.4456
1130.667,267.5370
1141.333,261.4265
1152.000,258.4237
1162.667,258.4237
1173.333,258.4237
1184.000,259.9208
1194.667,293.4413
1205.333,327.4796
1216.000,333.2039
1226.667,331.2848
1237.333,331.2848
1248.000,323.7182
1258.667,318.1569
1269.333,316.3245
1280.000,316.3245
1290.667,316.3245
1301.333,320.0000
1312.000,327.4796
1322.667,337.0755
1333.333,344.9543
1344.000,350.9840
1354.667,353.0172
1365.333,350.9840
1376.000,348.9625
1386.667,346.9526
1397.333,344.9543
1408.000,344.9543
1418.667,344.9543
1429.333,346.9526
1440.000,344.9543
1450.667,346.9526
1461.333,344.9543
1472.000,344.9543
1482.667,344.9543
1493.333,340.9922
1504.000,335.1341
1514.667,335.1341
1525.333,333.2039
1536.000,331.2848
1546.667,327.4796
1557.333,321.8537
1568.000,309.0996
1578.667,307.3193
1589.333,307.3193
1600.000,307.3193
1610.667,310.8902
1621.333,318.1569
1632.000,321.8537
1642.667,323.7182
1653.333,320.0000
1664.000,278.5762
1674.667,288.4001
1685.333,0.0000
1696.000,0.0000
1706.667,0.0000
1717.333,0.0000
1728.000,0.0000
1738.667,0.0000
1749.333,0.0000
1760.000,0.0000
1770.667,0.0000
1781.333,0.0000
1792.000,0.0000
1802.667,0.0000
1813.333,0.0000
1824.000,0.0000
1834.667,272.2135
1845.333,265.9961
1856.000,272.2135
