timestamp_ms,frequency_hz
0.000,0.0000
10.667,0.0000
21.333,0.0000
32.000,0.0000
42.667,0.0000
53.333,0.0000
64.000,0.0000
74.667,0.0000
85.333,0.0000
96.000,0.0000
106.667,0.0000
117.333,0.0000
128.000,0.0000
138.667,0.0000
149.333,0.0000
160.000,0.0000
170.667,0.0000
181.333,0.0000
192.000,0.0000
202.667,0.0000
213.333,0.0000
224.000,0.0000
234.667,0.0000
245.333,316.3245
256.000,342.9675
266.667,342.9675
277.333,344.9543
288.000,337.0755
298.667,335.1341
309.333,335.1341
320.000,325.5935
330.667,325.5935
341.333,325.5935
352.000,337.0755
362.667,380.5463
373.333,382.7508
384.000,382.7508
394.667,382.7508
405.333,382.7508
416.000,355.0622
426.667,363.3614
437.333,0.0000
448.000,316.3245
458.667,305.5493
469.333,316.3245
480.000,335.1341
490.667,329.3767
501.333,316.3245
512.000,346.9526
522.667,346.9526
533.333,391.6971
544.000,350.9840
554.667,350.9840
565.333,307.3193
576.000,291.7512
586.667,275.3765
597.333,293.4413
608.000,335.1341
618.667,387.1981
629.333,371.8546
640.000,371.8546
650.667,376.1753
661.333,371.8546
672.000,393.9662
682.667,393.9662
693.333,396.2484
704.000,393.9662
714.667,393.9662
725.333,393.9662
736.000,393.9662
746.667,403.1747
757.333,393.9662
768.000,396.2484
778.667,396.2484
789.333,396.2484
800.000,0.0000
810.667,0.0000
821.333,393.9662
832.000,393.9662
842.667,384.9680
853.333,389.4411
864.000,391.6971
874.667,389.4411
885.333,391.6971
896.000,384.9680
906.667,378.3545
917.333,376.1753
928.000,365.4663
938.667,333.2039
949.333,344.9543
960.000,344.9543
970.667,344.9543
981.333,344.9543
992.000,367.5835
1002.667,393.9662
1013.333,378.3545
1024.000,355.0622
1034.667,359.1879
1045.333,337.0755
1056.000,325.5935
1066.667,325.5935
1077.333,359.1879
1088.000,327.4796
1098.667,359.1879
1109.333,331.2848
1120.000,333.2039
1130.667,365.4663
1141.333,357.1191
1152.000,363.3614
1162.667,382.7508
1173.333,374.0087
1184.000,369.7129
1194.667,371.8546
1205.333,367.5835
1216.000,367.5835
1226.667,367.5835
1237.333,344.9543
1248.000,344.9543
1258.667,371.8546
1269.333,369.7129
1280.000,391.6971
1290.667,384.9680
1301.333,393.9662
1312.000,393.9662
1322.667,398.5439
1333.333,393.9662
1344.000,389.4411
1354.667,384.9680
1365.333,382.7508
1376.000,382.7508
1386.667,384.9680
1397.333,387.1981
1408.000,393.9662
1418.667,398.5439
1429.333,0.0000
1440.000,0.0000
1450.667,0.0000
1461.333,0.0000
1472.000,0.0000
1482.667,0.0000
1493.333,0.0000
1504.000,0.0000
1514.667,0.0000
1525.333,0.0000
1536.000,0.0000
1546.667,0.0000
1557.333,0.0000
1568.000,0.0000
1578.667,0.0000
1589.333,0.0000
1600.000,0.0000
1610.667,0.0000
1621.333,0.0000
1632.000,0.0000
