timestamp_ms,frequency_hz
0.000,0.0000
10.667,0.0000
21.333,0.0000
32.000,0.0000
42.667,0.0000
53.333,0.0000
64.000,0.0000
74.667,0.0000
85.333,0.0000
96.000,0.0000
106.667,0.0000
117.333,0.0000
128.000,0.0000
138.667,0.0000
149.333,0.0000
160.000,0.0000
170.667,0.0000
181.333,0.0000
192.000,0.0000
202.667,0.0000
213.333,0.0000
224.000,0.0000
234.667,0.0000
245.333,0.0000
256.000,0.0000
266.667,0.0000
277.333,0.0000
288.000,0.0000
298.667,0.0000
309.333,0.0000
320.000,0.0000
330.667,0.0000
341.333,0.0000
352.000,0.0000
362.667,0.0000
373.333,0.0000
384.000,0.0000
394.667,0.0000
405.333,0.0000
416.000,0.0000
426.667,0.0000
437.333,0.0000
448.000,0.0000
458.667,167.5671
469.333,184.8564
480.000,188.0877
490.667,183.7917
501.333,183.7917
512.000,185.9273
522.667,194.7206
533.333,206.2992
544.000,217.3076
554.667,239.7291
565.333,246.7537
576.000,252.5213
586.667,255.4555
597.333,256.9353
608.000,256.9353
618.667,251.0669
629.333,248.1832
640.000,245.3325
650.667,241.1179
661.333,239.7291
672.000,238.3484
682.667,234.2537
693.333,235.6107
704.000,234.2537
714.667,234.2537
725.333,235.6107
736.000,238.3484
746.667,243.9195
757.333,249.6209
768.000,252.5213
778.667,251.0669
789.333,251.0669
800.000,249.6209
810.667,243.9195
821.333,238.3484
832.000,235.6107
842.667,242.5147
853.333,246.7537
864.000,248.1832
874.667,249.6209
885.333,249.6209
896.000,248.1832
906.667,245.3325
917.333,239.7291
928.000,231.5631
938.667,213.5744
949.333,202.7552
960.000,199.2719
970.667,193.5991
981.333,202.7552
992.000,230.2294
1002.667,228.9033
1013.333,227.5850
1024.000,231.5631
1034.667,253.9842
1045.333,252.5213
1056.000,252.5213
1066.667,252.5213
1077.333,246.7537
1088.000,241.1179
1098.667,235.6107
1109.333,228.9033
1120.000,224.9709
1130.667,224.9709
1141.333,224.9709
1152.000,227.5850
1162.667,235.6107
1173.333,243.9195
1184.000,245.3325
1194.667,249.6209
1205.333,251.0669
1216.000,251.0669
1226.667,249.6209
1237.333,248.1832
1248.000,246.7537
1258.667,243.9195
1269.333,235.6107
1280.000,234.2537
1290.667,234.2537
1301.333,232.9045
1312.000,230.2294
1322.667,230.2294
1333.333,230.2294
1344.000,231.5631
1354.667,232.9045
1365.333,234.2537
1376.000,234.2537
1386.667,234.2537
1397.333,234.2537
1408.000,241.1179
1418.667,246.7537
1429.333,255.4555
1440.000,261.4265
1450.667,261.4265
1461.333,261.4265
1472.000,258.4237
1482.667,246.7537
1493.333,245.3325
1504.000,245.3325
1514.667,245.3325
1525.333,246.7537
1536.000,249.6209
1546.667,249.6209
1557.333,246.7537
1568.000,236.9756
1578.667,232.9045
1589.333,235.6107
1600.000,235.6107
1610.667,241.1179
1621.333,238.3484
1632.000,235.6107
