timestamp_ms,frequency_hz
0.000,228.9033
10.667,228.9033
21.333,228.9033
32.000,227.5850
42.667,227.5850
53.333,226.2742
64.000,224.9709
74.667,223.6752
85.333,221.1061
96.000,219.8326
106.667,217.3076
117.333,216.0560
128.000,214.8116
138.667,214.8116
149.333,216.0560
160.000,216.0560
170.667,218.5664
181.333,219.8326
192.000,221.1061
202.667,221.1061
213.333,222.3869
224.000,222.3869
234.667,221.1061
245.333,219.8326
256.000,218.5664
266.667,217.3076
277.333,216.0560
288.000,214.8116
298.667,212.3443
309.333,211.1213
320.000,211.1213
330.667,212.3443
341.333,214.8116
352.000,217.3076
362.667,221.1061
373.333,223.6752
384.000,223.6752
394.667,223.6752
405.333,222.3869
416.000,219.8326
426.667,218.5664
437.333,217.3076
448.000,214.8116
458.667,213.5744
469.333,214.8116
480.000,214.8116
490.667,216.0560
501.333,218.5664
512.000,219.8326
522.667,221.1061
533.333,223.6752
544.000,224.9709
554.667,226.2742
565.333,226.2742
576.000,227.5850
586.667,228.9033
597.333,224.9709
608.000,219.8326
618.667,214.8116
629.333,211.1213
640.000,209.9053
650.667,228.9033
661.333,226.2742
672.000,223.6752
682.667,222.3869
693.333,221.1061
704.000,219.8326
714.667,217.3076
725.333,217.3076
736.000,218.5664
746.667,218.5664
757.333,217.3076
768.000,214.8116
778.667,0.0000
789.333,0.0000
800.000,0.0000
810.667,0.0000
821.333,0.0000
832.000,0.0000
842.667,0.0000
853.333,0.0000
864.000,0.0000
874.667,0.0000
885.333,0.0000
896.000,0.0000
906.667,0.0000
917.333,180.6343
928.000,183.7917
938.667,185.9273
949.333,185.9273
960.000,184.8564
970.667,183.7917
981.333,183.7917
992.000,182.7332
1002.667,182.7332
1013.333,182.7332
1024.000,183.7917
1034.667,183.7917
1045.333,184.8564
1056.000,183.7917
1066.667,179.5939
1077.333,183.7917
1088.000,183.7917
1098.667,184.8564
1109.333,184.8564
1120.000,183.7917
1130.667,183.7917
1141.333,182.7332
1152.000,180.6343
1162.667,179.5939
1173.333,178.5595
1184.000,178.5595
1194.667,193.5991
1205.333,214.8116
1216.000,216.0560
1226.667,218.5664
1237.333,219.8326
1248.000,219.8326
1258.667,218.5664
1269.333,218.5664
1280.000,216.0560
1290.667,214.8116
1301.333,212.3443
1312.000,211.1213
1322.667,209.9053
1333.333,209.9053
1344.000,209.9053
1354.667,214.8116
1365.333,219.8326
1376.000,222.3869
1386.667,224.9709
1397.333,224.9709
1408.000,224.9709
1418.667,223.6752
1429.333,222.3869
1440.000,221.1061
1450.667,218.5664
1461.333,216.0560
1472.000,213.5744
1482.667,211.1213
1493.333,211.1213
1504.000,212.3443
1514.667,214.8116
1525.333,216.0560
1536.000,217.3076
