timestamp_ms,frequency_hz
0.000,227.5850
10.667,235.6107
21.333,243.9195
32.000,252.5213
42.667,264.4641
53.333,270.6457
64.000,276.9717
74.667,278.5762
85.333,280.1900
96.000,281.8131
106.667,281.8131
117.333,283.4456
128.000,285.0876
138.667,285.0876
149.333,283.4456
160.000,281.8131
170.667,281.8131
181.333,280.1900
192.000,278.5762
202.667,276.9717
213.333,276.9717
224.000,275.3765
234.667,273.7904
245.333,273.7904
256.000,272.2135
266.667,269.0869
277.333,267.5370
288.000,265.9961
298.667,264.4641
309.333,264.4641
320.000,264.4641
330.667,264.4641
341.333,264.4641
352.000,264.4641
362.667,264.4641
373.333,267.5370
384.000,275.3765
394.667,290.0708
405.333,288.4001
416.000,288.4001
426.667,288.4001
437.333,286.7391
448.000,281.8131
458.667,280.1900
469.333,280.1900
480.000,278.5762
490.667,275.3765
501.333,272.2135
512.000,272.2135
522.667,272.2135
533.333,270.6457
544.000,269.0869
554.667,265.9961
565.333,262.9409
576.000,262.9409
586.667,258.4237
597.333,252.5213
608.000,239.7291
618.667,234.2537
629.333,227.5850
640.000,219.8326
650.667,217.3076
661.333,219.8326
672.000,253.9842
682.667,276.9717
693.333,281.8131
704.000,285.0876
714.667,286.7391
725.333,285.0876
736.000,285.0876
746.667,283.4456
757.333,281.8131
768.000,281.8131
778.667,280.1900
789.333,280.1900
800.000,278.5762
810.667,275.3765
821.333,273.7904
832.000,272.2135
842.667,272.2135
853.333,272.2135
864.000,270.6457
874.667,269.0869
885.333,264.4641
896.000,262.9409
906.667,261.4265
917.333,258.4237
928.000,251.0669
938.667,249.6209
949.333,248.1832
960.000,248.1832
970.667,246.7537
981.333,248.1832
992.000,246.7537
1002.667,245.3325
1013.333,246.7537
1024.000,251.0669
1034.667,264.4641
1045.333,275.3765
1056.000,281.8131
1066.667,281.8131
1077.333,283.4456
1088.000,285.0876
1098.667,285.0876
1109.333,285.0876
1120.000,285.0876
1130.667,283.4456
1141.333,278.5762
1152.000,278.5762
1162.667,281.8131
1173.333,272.2135
1184.000,272.2135
1194.667,270.6457
1205.333,269.0869
1216.000,264.4641
1226.667,243.9195
