timestamp_ms,frequency_hz
0.000,293.4413
10.667,291.7512
21.333,290.0708
32.000,286.7391
42.667,283.4456
53.333,281.8131
64.000,281.8131
74.667,281.8131
85.333,280.1900
96.000,280.1900
106.667,280.1900
117.333,276.9717
128.000,276.9717
138.667,275.3765
149.333,273.7904
160.000,273.7904
170.667,273.7904
181.333,273.7904
192.000,275.3765
202.667,276.9717
213.333,276.9717
224.000,278.5762
234.667,278.5762
245.333,278.5762
256.000,278.5762
266.667,276.9717
277.333,276.9717
288.000,276.9717
298.667,275.3765
309.333,276.9717
320.000,276.9717
330.667,276.9717
341.333,276.9717
352.000,276.9717
362.667,276.9717
373.333,276.9717
384.000,276.9717
394.667,278.5762
405.333,278.5762
416.000,280.1900
426.667,281.8131
437.333,285.0876
448.000,288.4001
458.667,305.5493
469.333,310.8902
480.000,312.6912
490.667,312.6912
501.333,312.6912
512.000,312.6912
522.667,310.8902
533.333,310.8902
544.000,310.8902
554.667,312.6912
565.333,316.3245
576.000,320.0000
586.667,0.0000
597.333,340.9922
608.000,344.9543
618.667,348.9625
629.333,350.9840
640.000,350.9840
650.667,348.9625
661.333,346.9526
672.000,346.9526
682.667,346.9526
693.333,346.9526
704.000,348.9625
714.667,350.9840
725.333,350.9840
736.000,350.9840
746.667,348.9625
757.333,348.9625
768.000,346.9526
778.667,344.9543
789.333,344.9543
800.000,344.9543
810.667,346.9526
821.333,348.9625
832.000,348.9625
842.667,350.9840
853.333,350.9840
864.000,350.9840
874.667,350.9840
885.333,348.9625
896.000,348.9625
906.667,348.9625
917.333,348.9625
928.000,348.9625
938.667,348.9625
949.333,348.9625
960.000,348.9625
970.667,348.9625
981.333,348.9625
992.000,348.9625
1002.667,348.9625
1013.333,348.9625
1024.000,346.9526
1034.667,344.9543
1045.333,342.9675
1056.000,340.9922
1066.667,339.0282
1077.333,339.0282
1088.000,340.9922
1098.667,344.9543
1109.333,357.1191
1120.000,367.5835
1130.667,371.8546
1141.333,369.7129
1152.000,365.4663
1162.667,357.1191
1173.333,348.9625
1184.000,344.9543
1194.667,340.9922
1205.333,337.0755
1216.000,335.1341
1226.667,331.2848
1237.333,327.4796
1248.000,331.2848
1258.667,340.9922
1269.333,344.9543
1280.000,342.9675
1290.667,344.9543
1301.333,348.9625
1312.000,350.9840
1322.667,353.0172
1333.333,355.0622
1344.000,355.0622
1354.667,355.0622
1365.333,355.0622
1376.000,353.0172
1386.667,348.9625
1397.333,346.9526
1408.000,346.9526
1418.667,346.9526
1429.333,348.9625
1440.000,346.9526
1450.667,348.9625
1461.333,346.9526
1472.000,353.0172
1482.667,357.1191
1493.333,359.1879
1504.000,363.3614
1514.667,361.2686
1525.333,361.2686
1536.000,359.1879
1546.667,355.0622
1557.333,355.0622
1568.000,355.0622
1578.667,353.0172
1589.333,350.9840
1600.000,346.9526
1610.667,353.0172
1621.333,355.0622
1632.000,361.2686
1642.667,365.4663
1653.333,363.3614
1664.000,363.3614
1674.667,363.3614
1685.333,359.1879
1696.000,359.1879
1706.667,0.0000
1717.333,0.0000
1728.000,0.0000
1738.667,0.0000
1749.333,346.9526
1760.000,344.9543
1770.667,344.9543
1781.333,342.9675
1792.000,346.9526
1802.667,346.9526
1813.333,348.9625
1824.000,342.9675
1834.667,344.9543
1845.333,348.9625
1856.000,353.0172
1866.667,353.0172
1877.333,0.0000
1888.000,0.0000
1898.667,0.0000
1909.333,0.0000
1920.000,0.0000
1930.667,0.0000
1941.333,0.0000
1952.000,0.0000
1962.667,0.0000
1973.333,236.9756
1984.000,235.6107
1994.667,235.6107
2005.333,234.2537
2016.000,235.6107
2026.667,235.6107
2037.333,234.2537
2048.000,231.5631
2058.667,231.5631
2069.333,0.0000
2080.000,0.0000
2090.667,0.0000
2101.333,0.0000
2112.000,0.0000
2122.667,0.0000
2133.333,0.0000
2144.000,0.0000
2154.667,0.0000
2165.333,0.0000
2176.000,0.0000
2186.667,0.0000
2197.333,0.0000
2208.000,0.0000
2218.667,0.0000
2229.333,0.0000
2240.000,0.0000
2250.667,0.0000
2261.333,0.0000
2272.000,0.0000
2282.667,0.0000
2293.333,0.0000
2304.000,0.0000
2314.667,0.0000
2325.333,0.0000
2336.000,0.0000
2346.667,0.0000
2357.333,0.0000
2368.000,0.0000
2378.667,0.0000
2389.333,0.0000
2400.000,0.0000
2410.667,0.0000
2421.333,0.0000
2432.000,0.0000
2442.667,0.0000
2453.333,0.0000
2464.000,0.0000
2474.667,0.0000
2485.333,0.0000
2496.000,189.1772
2506.667,191.3754
2517.333,196.9831
2528.000,200.4263
2538.667,202.7552
2549.333,203.9297
2560.000,206.2992
2570.667,207.4943
2581.333,207.4943
2592.000,208.6963
2602.667,209.9053
2613.333,209.9053
2624.000,209.9053
2634.667,208.6963
2645.333,208.6963
2656.000,208.6963
2666.667,208.6963
2677.333,208.6963
2688.000,208.6963
2698.667,207.4943
2709.333,207.4943
2720.000,207.4943
2730.667,208.6963
2741.333,207.4943
2752.000,211.1213
2762.667,0.0000
2773.333,0.0000
2784.000,0.0000
2794.667,0.0000
2805.333,0.0000
2816.000,0.0000
2826.667,0.0000
2837.333,0.0000
2848.000,0.0000
2858.667,0.0000
2869.333,0.0000
2880.000,327.4796
2890.667,329.3767
2901.333,331.2848
2912.000,333.2039
2922.667,335.1341
2933.333,335.1341
2944.000,333.2039
2954.667,325.5935
2965.333,318.1569
2976.000,314.5026
2986.667,314.5026
2997.333,314.5026
3008.000,312.6912
3018.667,312.6912
3029.333,312.6912
3040.000,312.6912
3050.667,312.6912
3061.333,310.8902
3072.000,310.8902
3082.667,309.0996
3093.333,309.0996
3104.000,307.3193
3114.667,307.3193
3125.333,307.3193
3136.000,309.0996
3146.667,309.0996
3157.333,309.0996
3168.000,309.0996
3178.667,309.0996
3189.333,309.0996
3200.000,307.3193
