timestamp_ms,frequency_hz
0.000,312.6912
10.667,310.8902
21.333,309.0996
32.000,305.5493
42.667,303.7895
53.333,302.0398
64.000,300.3002
74.667,298.5706
85.333,300.3002
96.000,305.5493
106.667,312.6912
117.333,316.3245
128.000,316.3245
138.667,316.3245
149.333,316.3245
160.000,314.5026
170.667,296.8509
181.333,298.5706
192.000,298.5706
202.667,305.5493
213.333,310.8902
224.000,309.0996
234.667,307.3193
245.333,303.7895
256.000,302.0398
266.667,307.3193
277.333,310.8902
288.000,309.0996
298.667,307.3193
309.333,303.7895
320.000,298.5706
330.667,298.5706
341.333,296.8509
352.000,0.0000
362.667,0.0000
373.333,0.0000
384.000,0.0000
394.667,0.0000
405.333,0.0000
416.000,0.0000
426.667,241.1179
437.333,231.5631
448.000,232.9045
458.667,231.5631
469.333,230.2294
480.000,219.8326
490.667,218.5664
501.333,227.5850
512.000,231.5631
522.667,234.2537
533.333,241.1179
544.000,230.2294
554.667,228.9033
565.333,228.9033
576.000,228.9033
586.667,227.5850
597.333,209.9053
608.000,219.8326
618.667,238.3484
629.333,241.1179
640.000,253.9842
650.667,252.5213
661.333,249.6209
672.000,246.7537
682.667,241.1179
693.333,230.2294
704.000,227.5850
714.667,228.9033
725.333,234.2537
736.000,234.2537
746.667,234.2537
757.333,232.9045
768.000,234.2537
778.667,235.6107
789.333,236.9756
800.000,238.3484
810.667,0.0000
821.333,0.0000
832.000,0.0000
842.667,0.0000
853.333,0.0000
864.000,0.0000
874.667,0.0000
885.333,0.0000
896.000,0.0000
906.667,0.0000
917.333,0.0000
928.000,0.0000
938.667,0.0000
949.333,0.0000
960.000,0.0000
970.667,0.0000
981.333,0.0000
992.000,0.0000
1002.667,0.0000
1013.333,0.0000
1024.000,0.0000
1034.667,0.0000
1045.333,0.0000
1056.000,0.0000
1066.667,0.0000
1077.333,0.0000
1088.000,0.0000
1098.667,0.0000
1109.333,316.3245
1120.000,316.3245
1130.667,320.0000
1141.333,320.0000
1152.000,320.0000
1162.667,318.1569
1173.333,314.5026
1184.000,305.5493
1194.667,300.3002
1205.333,298.5706
1216.000,300.3002
1226.667,303.7895
1237.333,309.0996
1248.000,312.6912
1258.667,314.5026
1269.333,316.3245
1280.000,309.0996
1290.667,267.5370
1301.333,243.9195
1312.000,248.1832
1322.667,256.9353
1333.333,259.9208
1344.000,261.4265
1354.667,261.4265
1365.333,261.4265
1376.000,258.4237
1386.667,245.3325
1397.333,239.7291
1408.000,242.5147
1418.667,213.5744
1429.333,202.7552
1440.000,200.4263
1450.667,223.6752
1461.333,223.6752
1472.000,0.0000
1482.667,0.0000
1493.333,0.0000
1504.000,0.0000
1514.667,0.0000
1525.333,310.8902
1536.000,305.5493
1546.667,310.8902
1557.333,314.5026
1568.000,314.5026
1578.667,314.5026
1589.333,312.6912
1600.000,309.0996
1610.667,309.0996
1621.333,309.0996
1632.000,309.0996
1642.667,309.0996
1653.333,310.8902
1664.000,310.8902
1674.667,314.5026
1685.333,316.3245
1696.000,318.1569
1706.667,318.1569
1717.333,316.3245
1728.000,314.5026
1738.667,312.6912
1749.333,310.8902
1760.000,309.0996
1770.667,307.3193
1781.333,305.5493
1792.000,305.5493
1802.667,305.5493
1813.333,307.3193
1824.000,310.8902
1834.667,314.5026
1845.333,316.3245
1856.000,316.3245
1866.667,316.3245
1877.333,309.0996
1888.000,303.7895
1898.667,303.7895
1909.333,307.3193
1920.000,312.6912
1930.667,298.5706
1941.333,329.3767
1952.000,329.3767
1962.667,0.0000
1973.333,0.0000
1984.000,0.0000
1994.667,0.0000
2005.333,0.0000
2016.000,0.0000
2026.667,0.0000
2037.333,0.0000
2048.000,0.0000
2058.667,0.0000
2069.333,0.0000
2080.000,0.0000
2090.667,0.0000
2101.333,0.0000
2112.000,0.0000
2122.667,0.0000
2133.333,0.0000
2144.000,0.0000
2154.667,0.0000
2165.333,0.0000
2176.000,0.0000
2186.667,0.0000
2197.333,0.0000
2208.000,0.0000
2218.667,0.0000
2229.333,0.0000
2240.000,0.0000
2250.667,0.0000
2261.333,0.0000
2272.000,0.0000
2282.667,0.0000
2293.333,0.0000
2304.000,0.0000
2314.667,0.0000
2325.333,0.0000
2336.000,0.0000
2346.667,0.0000
2357.333,0.0000
2368.000,303.7895
2378.667,303.7895
2389.333,309.0996
2400.000,309.0996
2410.667,310.8902
2421.333,310.8902
2432.000,309.0996
2442.667,0.0000
2453.333,0.0000
2464.000,0.0000
2474.667,0.0000
2485.333,0.0000
2496.000,320.0000
2506.667,318.1569
2517.333,316.3245
2528.000,316.3245
2538.667,314.5026
2549.333,312.6912
2560.000,303.7895
2570.667,293.4413
2581.333,291.7512
2592.000,290.0708
2602.667,291.7512
2613.333,300.3002
2624.000,300.3002
2634.667,300.3002
2645.333,300.3002
2656.000,302.0398
2666.667,303.7895
2677.333,305.5493
2688.000,307.3193
2698.667,309.0996
2709.333,309.0996
2720.000,310.8902
2730.667,310.8902
2741.333,310.8902
2752.000,310.8902
2762.667,310.8902
2773.333,310.8902
2784.000,310.8902
2794.667,310.8902
2805.333,310.8902
2816.000,310.8902
2826.667,309.0996
2837.333,309.0996
2848.000,310.8902
2858.667,310.8902
2869.333,310.8902
2880.000,310.8902
2890.667,309.0996
2901.333,309.0996
2912.000,0.0000
2922.667,0.0000
2933.333,0.0000
2944.000,0.0000
2954.667,0.0000
2965.333,0.0000
2976.000,0.0000
2986.667,0.0000
2997.333,0.0000
3008.000,0.0000
3018.667,0.0000
3029.333,321.8537
3040.000,321.8537
3050.667,321.8537
3061.333,320.0000
3072.000,320.0000
3082.667,314.5026
3093.333,309.0996
3104.000,305.5493
3114.667,307.3193
3125.333,312.6912
3136.000,318.1569
3146.667,323.7182
3157.333,333.2039
3168.000,339.0282
3178.667,340.9922
3189.333,342.9675
3200.000,344.9543
3210.667,348.9625
3221.333,350.9840
3232.000,353.0172
3242.667,353.0172
3253.333,350.9840
3264.000,0.0000
3274.667,0.0000
3285.333,0.0000
3296.000,0.0000
3306.667,272.2135
3317.333,262.9409
3328.000,261.4265
3338.667,261.4265
3349.333,261.4265
3360.000,259.9208
3370.667,259.9208
3381.333,259.9208
3392.000,259.9208
3402.667,261.4265
