timestamp_ms,frequency_hz
0.000,391.6971
10.667,391.6971
21.333,391.6971
32.000,391.6971
42.667,391.6971
53.333,391.6971
64.000,391.6971
74.667,391.6971
85.333,391.6971
96.000,391.6971
106.667,391.6971
117.333,391.6971
128.000,393.9662
138.667,393.9662
149.333,393.9662
160.000,393.9662
170.667,393.9662
181.333,393.9662
192.000,393.9662
202.667,393.9662
213.333,393.9662
224.000,393.9662
234.667,393.9662
245.333,393.9662
256.000,393.9662
266.667,393.9662
277.333,393.9662
288.000,393.9662
298.667,391.6971
309.333,391.6971
320.000,391.6971
330.667,391.6971
341.333,391.6971
352.000,391.6971
362.667,391.6971
373.333,391.6971
384.000,391.6971
394.667,391.6971
405.333,393.9662
416.000,393.9662
426.667,393.9662
437.333,393.9662
448.000,393.9662
458.667,396.2484
469.333,396.2484
480.000,396.2484
490.667,396.2484
501.333,396.2484
512.000,396.2484
522.667,396.2484
533.333,396.2484
544.000,393.9662
554.667,393.9662
565.333,393.9662
576.000,396.2484
586.667,396.2484
597.333,400.8526
608.000,403.1747
618.667,403.1747
629.333,405.5103
640.000,407.8594
650.667,405.5103
661.333,403.1747
672.000,398.5439
682.667,393.9662
693.333,387.1981
704.000,384.9680
714.667,384.9680
725.333,387.1981
736.000,389.4411
746.667,393.9662
757.333,393.9662
768.000,396.2484
778.667,396.2484
789.333,396.2484
800.000,393.9662
810.667,391.6971
821.333,391.6971
832.000,391.6971
842.667,393.9662
853.333,396.2484
864.000,396.2484
874.667,398.5439
885.333,398.5439
896.000,396.2484
906.667,391.6971
917.333,387.1981
928.000,378.3545
938.667,367.5835
949.333,357.1191
960.000,348.9625
970.667,339.0282
981.333,325.5935
992.000,318.1569
1002.667,318.1569
1013.333,318.1569
1024.000,320.0000
1034.667,325.5935
1045.333,327.4796
1056.000,329.3767
1066.667,329.3767
1077.333,329.3767
1088.000,331.2848
1098.667,331.2848
1109.333,331.2848
1120.000,331.2848
1130.667,331.2848
1141.333,331.2848
1152.000,331.2848
1162.667,331.2848
1173.333,331.2848
1184.000,331.2848
1194.667,331.2848
1205.333,331.2848
1216.000,331.2848
1226.667,331.2848
1237.333,331.2848
1248.000,331.2848
1258.667,331.2848
1269.333,331.2848
1280.000,331.2848
1290.667,331.2848
1301.333,333.2039
1312.000,331.2848
1322.667,331.2848
1333.333,331.2848
1344.000,331.2848
1354.667,331.2848
1365.333,0.0000
1376.000,0.0000
1386.667,0.0000
1397.333,0.0000
1408.000,0.0000
1418.667,0.0000
1429.333,331.2848
1440.000,331.2848
1450.667,331.2848
1461.333,329.3767
1472.000,329.3767
1482.667,329.3767
1493.333,329.3767
1504.000,329.3767
1514.667,329.3767
1525.333,329.3767
1536.000,329.3767
1546.667,331.2848
1557.333,331.2848
1568.000,331.2848
1578.667,331.2848
1589.333,331.2848
1600.000,331.2848
1610.667,331.2848
1621.333,331.2848
1632.000,331.2848
1642.667,331.2848
1653.333,331.2848
1664.000,331.2848
1674.667,329.3767
1685.333,331.2848
1696.000,331.2848
1706.667,331.2848
1717.333,331.2848
1728.000,331.2848
1738.667,333.2039
1749.333,331.2848
1760.000,331.2848
1770.667,331.2848
1781.333,331.2848
1792.000,331.2848
1802.667,331.2848
1813.333,331.2848
1824.000,331.2848
1834.667,331.2848
1845.333,329.3767
1856.000,329.3767
1866.667,329.3767
1877.333,329.3767
1888.000,329.3767
1898.667,331.2848
1909.333,333.2039
1920.000,335.1341
1930.667,339.0282
1941.333,342.9675
1952.000,346.9526
1962.667,346.9526
1973.333,344.9543
1984.000,340.9922
1994.667,335.1341
2005.333,331.2848
2016.000,329.3767
2026.667,331.2848
2037.333,335.1341
2048.000,340.9922
2058.667,342.9675
2069.333,342.9675
2080.000,340.9922
2090.667,339.0282
2101.333,339.0282
2112.000,337.0755
2122.667,333.2039
2133.333,329.3767
2144.000,318.1569
2154.667,275.3765
2165.333,273.7904
2176.000,0.0000
2186.667,0.0000
2197.333,0.0000
2208.000,0.0000
2218.667,0.0000
2229.333,0.0000
2240.000,0.0000
2250.667,0.0000
2261.333,0.0000
2272.000,0.0000
2282.667,0.0000
2293.333,0.0000
2304.000,0.0000
2314.667,0.0000
2325.333,0.0000
2336.000,0.0000
2346.667,267.5370
2357.333,270.6457
2368.000,270.6457
2378.667,270.6457
2389.333,272.2135
2400.000,272.2135
2410.667,273.7904
2421.333,273.7904
2432.000,261.4265
2442.667,261.4265
2453.333,259.9208
2464.000,259.9208
2474.667,258.4237
2485.333,256.9353
2496.000,256.9353
2506.667,255.4555
2517.333,258.4237
2528.000,258.4237
2538.667,259.9208
2549.333,0.0000
2560.000,0.0000
2570.667,0.0000
2581.333,0.0000
2592.000,0.0000
2602.667,0.0000
2613.333,0.0000
2624.000,0.0000
2634.667,0.0000
2645.333,0.0000
2656.000,0.0000
2666.667,0.0000
2677.333,0.0000
2688.000,0.0000
2698.667,0.0000
2709.333,0.0000
2720.000,0.0000
2730.667,0.0000
2741.333,0.0000
2752.000,314.5026
2762.667,314.5026
2773.333,314.5026
2784.000,314.5026
2794.667,316.3245
2805.333,318.1569
2816.000,320.0000
2826.667,320.0000
2837.333,321.8537
2848.000,321.8537
2858.667,320.0000
2869.333,316.3245
2880.000,314.5026
2890.667,310.8902
2901.333,307.3193
2912.000,303.7895
2922.667,300.3002
2933.333,296.8509
2944.000,295.1412
2954.667,296.8509
2965.333,296.8509
2976.000,296.8509
2986.667,295.1412
2997.333,291.7512
3008.000,285.0876
3018.667,275.3765
3029.333,267.5370
3040.000,261.4265
3050.667,259.9208
3061.333,258.4237
3072.000,256.9353
3082.667,255.4555
3093.333,255.4555
3104.000,255.4555
3114.667,255.4555
3125.333,256.9353
3136.000,256.9353
3146.667,259.9208
3157.333,261.4265
3168.000,262.9409
3178.667,262.9409
3189.333,262.9409
3200.000,262.9409
3210.667,261.4265
3221.333,258.4237
3232.000,0.0000
3242.667,0.0000
