timestamp_ms,frequency_hz
0.000,165.6424
10.667,163.7398
21.333,162.7968
32.000,161.8591
42.667,160.0000
53.333,160.0000
64.000,160.0000
74.667,160.9269
85.333,161.8591
96.000,161.8591
106.667,162.7968
117.333,162.7968
128.000,163.7398
138.667,163.7398
149.333,163.7398
160.000,162.7968
170.667,161.8591
181.333,161.8591
192.000,161.8591
202.667,161.8591
213.333,161.8591
224.000,163.7398
234.667,163.7398
245.333,163.7398
256.000,163.7398
266.667,160.9269
277.333,161.8591
288.000,162.7968
298.667,160.9269
309.333,162.7968
320.000,161.8591
330.667,160.9269
341.333,154.5498
352.000,160.9269
362.667,160.9269
373.333,160.0000
384.000,160.0000
394.667,164.6884
405.333,164.6884
416.000,165.6424
426.667,164.6884
437.333,157.2513
448.000,158.1622
458.667,164.6884
469.333,167.5671
480.000,167.5671
490.667,167.5671
501.333,168.5378
512.000,167.5671
522.667,167.5671
533.333,165.6424
544.000,162.7968
554.667,162.7968
565.333,163.7398
576.000,163.7398
586.667,165.6424
597.333,167.5671
608.000,168.5378
618.667,169.5141
629.333,171.4838
640.000,174.4812
650.667,176.5086
661.333,178.5595
672.000,179.5939
682.667,180.6343
693.333,181.6807
704.000,182.7332
714.667,182.7332
725.333,182.7332
736.000,181.6807
746.667,180.6343
757.333,180.6343
768.000,180.6343
778.667,181.6807
789.333,181.6807
800.000,182.7332
810.667,183.7917
821.333,183.7917
832.000,183.7917
842.667,182.7332
853.333,181.6807
864.000,180.6343
874.667,181.6807
885.333,181.6807
896.000,180.6343
906.667,180.6343
917.333,180.6343
928.000,169.5141
938.667,166.6019
949.333,161.8591
960.000,162.7968
970.667,162.7968
981.333,163.7398
992.000,163.7398
1002.667,163.7398
1013.333,163.7398
1024.000,163.7398
1034.667,162.7968
1045.333,161.8591
1056.000,161.8591
1066.667,161.8591
1077.333,162.7968
1088.000,162.7968
1098.667,163.7398
1109.333,163.7398
1120.000,163.7398
1130.667,163.7398
1141.333,163.7398
1152.000,163.7398
1162.667,161.8591
1173.333,161.8591
1184.000,160.9269
1194.667,159.0785
1205.333,160.0000
1216.000,161.8591
1226.667,162.7968
1237.333,163.7398
1248.000,165.6424
1258.667,166.6019
1269.333,166.6019
1280.000,166.6019
1290.667,168.5378
1301.333,167.5671
1312.000,166.6019
1322.667,165.6424
1333.333,165.6424
1344.000,166.6019
1354.667,166.6019
1365.333,166.6019
1376.000,168.5378
1386.667,166.6019
1397.333,165.6424
1408.000,164.6884
1418.667,163.7398
1429.333,163.7398
1440.000,164.6884
1450.667,163.7398
1461.333,163.7398
1472.000,163.7398
1482.667,162.7968
1493.333,162.7968
1504.000,162.7968
1514.667,162.7968
1525.333,162.7968
1536.000,163.7398
1546.667,163.7398
1557.333,163.7398
1568.000,162.7968
1578.667,163.7398
1589.333,162.7968
1600.000,163.7398
1610.667,164.6884
1621.333,164.6884
1632.000,165.6424
1642.667,165.6424
1653.333,164.6884
1664.000,163.7398
1674.667,162.7968
1685.333,162.7968
1696.000,162.7968
1706.667,162.7968
1717.333,162.7968
1728.000,162.7968
1738.667,163.7398
1749.333,163.7398
1760.000,163.7398
1770.667,163.7398
1781.333,162.7968
1792.000,163.7398
1802.667,162.7968
1813.333,162.7968
1824.000,162.7968
1834.667,162.7968
1845.333,163.7398
1856.000,163.7398
1866.667,164.6884
1877.333,173.4763
1888.000,171.4838
1898.667,172.4771
1909.333,165.6424
1920.000,160.9269
1930.667,160.9269
1941.333,164.6884
1952.000,164.6884
1962.667,164.6884
1973.333,163.7398
1984.000,163.7398
1994.667,162.7968
2005.333,161.8591
2016.000,161.8591
2026.667,160.9269
2037.333,160.9269
2048.000,161.8591
2058.667,161.8591
2069.333,162.7968
2080.000,162.7968
2090.667,164.6884
2101.333,163.7398
2112.000,162.7968
2122.667,161.8591
2133.333,162.7968
2144.000,162.7968
2154.667,162.7968
2165.333,161.8591
2176.000,160.9269
2186.667,164.6884
2197.333,165.6424
2208.000,166.6019
2218.667,167.5671
2229.333,164.6884
2240.000,163.7398
2250.667,164.6884
2261.333,161.8591
2272.000,169.5141
2282.667,168.5378
2293.333,0.0000
2304.000,0.0000
2314.667,0.0000
2325.333,175.4920
2336.000,174.4812
2346.667,175.4920
2357.333,175.4920
2368.000,166.6019
2378.667,164.6884
2389.333,162.7968
2400.000,162.7968
2410.667,162.7968
2421.333,0.0000
2432.000,166.6019
2442.667,160.9269
2453.333,160.0000
2464.000,164.6884
2474.667,166.6019
2485.333,161.8591
2496.000,160.9269
2506.667,160.9269
2517.333,161.8591
2528.000,0.0000
2538.667,0.0000
2549.333,0.0000
2560.000,116.4523
2570.667,115.1147
2581.333,116.4523
2592.000,119.1742
2602.667,126.9921
2613.333,137.6882
2624.000,148.4255
2634.667,154.5498
2645.333,160.9269
2656.000,167.5671
2666.667,173.4763
2677.333,177.5311
2688.000,179.5939
2698.667,180.6343
2709.333,180.6343
2720.000,181.6807
2730.667,181.6807
2741.333,181.6807
2752.000,181.6807
2762.667,180.6343
2773.333,176.5086
2784.000,176.5086
2794.667,176.5086
2805.333,175.4920
2816.000,175.4920
2826.667,182.7332
2837.333,182.7332
2848.000,181.6807
2858.667,181.6807
2869.333,181.6807
2880.000,179.5939
2890.667,180.6343
2901.333,180.6343
2912.000,176.5086
2922.667,178.5595
